"Topic.Code","Topic"
1,"Macroeconomics"
2,"Civil Rights"
3,"Health"
4,"Agriculture"
5,"Labor, Immigration, and Employment"
6,"Education"
7,"Environment"
8,"Energy"
10,"Transportation"
12,"Law, Crime, and Family Issues"
13,"Social welfare"
14,"Community Development and Housing"
15,"Banking, Finance and Domestic Commerce"
16,"Defense"
17,"Space, Science, Technology, and Communications"
18,"Foreign Trade"
19,"International Affairs"
20,"Federal Government Operations"
21,"Public Lands and Water Management"
24,"State and Local Government Administration"
26,"Weather and Natural Disasters"
27,"Fires"
28,"Arts and Entertainment"
29,"Sports and Recreation"
30,"Death Notices"
31,"Churches and Religion"
99,"Other, Miscellaneous, and Human Interest"
